sample_id,study_name,study_subset,environment,sample,groupby,group,T,pH,O2_umol_L,Eh,Eh7,Bacteria_Zc,Archaea_Zc
SRR9050271,GSBT20,Postfilter,River & Seawater,EUM11post,Region,Europe,15.72,8.01,273.14,166.1,223.99,-0.184231,NA
SRR9050277,GSBT20,Postfilter,River & Seawater,EUM12post,Region,Europe,15.56,8.03,280.95,151.2,210.2,-0.186405,NA
SRR9049924,GSBT20,Postfilter,River & Seawater,EUV10post,Region,Europe,17,8.2,231.57,100.1,169.18,-0.171671,NA
SRR9049918,GSBT20,Postfilter,River & Seawater,EUV11post,Region,Europe,17.22,8.19,220.95,94,162.56,-0.175788,NA
SRR9049920,GSBT20,Postfilter,River & Seawater,EUV13post,Region,Europe,17.22,8.19,220.95,94,162.56,-0.180334,NA
SRR9053289,GSBT20,Postfilter,River & Seawater,GAL10post,Region,East Coast U.S.,27.17,8.24,234.7,140.6,214.49,-0.172684,NA
SRR9053402,GSBT20,Postfilter,River & Seawater,GAL12post,Region,East Coast U.S.,27.44,8.28,230.95,129.5,205.84,-0.175934,NA
SRR9053404,GSBT20,Postfilter,River & Seawater,GAL13post,Region,East Coast U.S.,27.39,8.26,230.32,124.4,199.53,-0.173049,NA
SRR9053655,GSBT20,Postfilter,River & Seawater,NY10post,Region,East Coast U.S.,20.06,7.79,193.44,137.8,183.76,-0.174814,NA
SRR9053659,GSBT20,Postfilter,River & Seawater,NY12post,Region,East Coast U.S.,20.72,7.76,192.51,140.3,184.61,-0.17858,NA
SRR9053661,GSBT20,Postfilter,River & Seawater,NY13post,Region,East Coast U.S.,20.78,7.76,194.69,143.5,187.82,-0.176033,NA
SRR9050004,GSBT20,Postfilter,River & Seawater,EUN10post,Region,Europe,18.94,8.13,264.38,64,129.49,-0.175004,NA
SRR9049905,GSBT20,Postfilter,River & Seawater,EUN11post,Region,Europe,18.83,8.14,264.38,61.5,127.54,-0.177771,NA
SRR9049907,GSBT20,Postfilter,River & Seawater,EUN12post,Region,Europe,18.67,8.14,263.13,63.7,129.71,-0.175547,NA
SRR9050110,GSBT20,Postfilter,River & Seawater,EUR10post,Region,Europe,12.56,8.34,342.51,124.5,200.46,-0.167561,NA
SRR9049815,GSBT20,Postfilter,River & Seawater,EUR11post,Region,Europe,12.72,8.86,350.95,100.9,206.4,-0.168488,NA
SRR9049979,GSBT20,Postfilter,River & Seawater,EUR12post,Region,Europe,12.61,8.65,348.14,98.6,192.15,-0.166754,NA
SRR9050147,GSBT20,Postfilter,River & Seawater,EUW10post,Region,Europe,9.7,7.88,285.01,150.5,199.89,-0.174995,NA
SRR9050149,GSBT20,Postfilter,River & Seawater,EUW11post,Region,Europe,9.7,7.89,285.01,150.3,200.25,-0.191426,-0.125774
SRR9050151,GSBT20,Postfilter,River & Seawater,EUW12post,Region,Europe,9.6,8.64,285.64,80.6,172.6,-0.189876,NA
SRR9053755,GSBT20,Postfilter,River & Seawater,NEW10post,Region,East Coast U.S.,23.83,7.52,172.82,122.3,152.94,-0.171332,NA
SRR9053168,GSBT20,Postfilter,River & Seawater,NEW11post,Region,East Coast U.S.,23.83,7.52,174.69,124.3,154.94,-0.166894,NA
SRR9053174,GSBT20,Postfilter,River & Seawater,NEW12post,Region,East Coast U.S.,23.78,7.54,172.51,128.8,160.61,-0.172004,NA
SRR9053885,GSBT20,Postfilter,River & Seawater,NOF10post,Region,East Coast U.S.,24.78,7.97,217.51,236.6,293.94,-0.159246,NA
SRR9053887,GSBT20,Postfilter,River & Seawater,NOF11post,Region,East Coast U.S.,24.78,7.97,217.51,225.7,283.04,-0.163935,NA
SRR9053616,GSBT20,Postfilter,River & Seawater,NOF12post,Region,East Coast U.S.,24.89,7.91,211.57,216.5,270.31,-0.164803,NA
SRR10417964,WHL+21,NA,River & Seawater,Spring_URL_T1,Season,Spring,19.27,7.34,246.26,109.17,128.9,-0.150103,NA
SRR10417885,WHL+21,NA,River & Seawater,Spring_URM_T1,Season,Spring,18.3,7.24,253.13,105.17,119.05,-0.162494,NA
SRR10417852,WHL+21,NA,River & Seawater,Spring_URR_T1,Season,Spring,18.27,7.24,244.38,90.03,103.91,-0.158203,NA
SRR10417819,WHL+21,NA,River & Seawater,Spring_RAL_T1,Season,Spring,18.87,7.23,245.63,97.9,111.23,-0.17204,NA
SRR10417940,WHL+21,NA,River & Seawater,Spring_RAM_T1,Season,Spring,18.8,7.36,250.32,101.9,122.75,-0.156616,NA
SRR10417907,WHL+21,NA,River & Seawater,Spring_RAR_T1,Season,Spring,18.73,7.37,243.45,101.93,123.36,-0.155714,NA
SRR10417898,WHL+21,NA,River & Seawater,Spring_IAL_T1,Season,Spring,20.13,7.2,240.63,3.97,15.61,-0.159007,NA
SRR10417894,WHL+21,NA,River & Seawater,Spring_IAM_T1,Season,Spring,20.1,7.24,231.88,-58.97,-45.01,-0.158359,NA
SRR10417891,WHL+21,NA,River & Seawater,Spring_IAR_T1,Season,Spring,20.23,7.29,231.26,-54.33,-37.45,-0.161935,NA
SRR10417878,WHL+21,NA,River & Seawater,Spring_SO_T1,Season,Spring,18.2,7.31,287.82,-3.33,14.59,-0.154117,NA
SRR10417888,WHL+21,NA,River & Seawater,Spring_DRL_T1,Season,Spring,21.4,7.44,197.82,70.3,96.01,-0.158109,NA
SRR10417884,WHL+21,NA,River & Seawater,Spring_DRM_T1,Season,Spring,21.1,7.09,209.07,83.7,88.95,-0.160942,NA
SRR10417881,WHL+21,NA,River & Seawater,Spring_DRR_T1,Season,Spring,21.27,7.15,197.51,89.27,98.03,-0.164379,NA
SRR10417875,WHL+21,NA,River & Seawater,Summer_URL_T1,Season,Summer,28.67,7.49,190.94,98.47,127.81,-0.157646,NA
